Index,Temperature
1,37.28
2,37.92
3,37.18
4,37.65
5,36.96
6,37.47
7,37.91
8,37.91
9,37.16
10,37.03
11,37.40
12,36.75
13,37.01
14,37.26
15,36.68
16,37.24
17,37.99
18,36.71
19,37.96
20,38.00
21,37.47
22,36.60
23,36.75
24,36.11
25,36.23
26,37.35
27,36.31
28,37.09
29,36.90
30,36.71
31,37.71
32,37.93
33,36.95
34,37.79
35,37.81
36,36.35
37,37.29
38,36.76
39,36.54
40,36.26
41,36.03
42,36.66
43,37.71
44,36.58
45,36.43
46,36.86
47,36.74
48,37.32
49,36.67
50,36.92
51,37.50
52,36.21
53,36.47
54,36.16
55,37.76
56,37.72
57,36.08
58,37.71
59,37.39
60,37.68
61,36.80
62,36.42
63,36.68
64,37.50
65,36.49
66,37.41
67,37.14
68,37.06
69,37.16
70,36.60
71,36.07
72,36.36
73,36.34
74,37.95
75,37.10
76,36.94
77,36.97
78,36.86
79,36.22
80,37.19
