Index,Temperature
1,37.28
2,37.20
3,36.63
4,37.00
5,36.10
6,36.67
7,36.86
8,37.02
9,36.20
10,37.16
11,37.36
12,36.77
13,37.76
14,36.31
15,37.46
16,36.53
17,36.17
18,36.34
19,36.52
20,37.17
21,36.95
22,37.32
23,37.33
24,36.25
25,36.69
26,36.72
27,36.82
28,36.11
29,37.95
30,36.93
31,36.63
32,36.38
33,37.20
34,37.64
35,37.22
36,37.94
37,37.92
38,36.94
39,37.94
40,37.02
41,37.78
42,37.82
43,36.66
44,36.38
45,36.18
46,38.00
47,37.63
48,36.18
49,36.98
50,37.80
51,36.97
52,37.68
53,36.69
54,36.04
55,36.43
56,36.09
57,36.98
58,36.49
59,37.08
60,36.04
61,37.81
62,37.03
63,37.23
64,37.73
65,37.97
66,36.03
67,36.47
68,37.29
69,37.34
70,37.95
71,36.14
72,37.59
73,37.76
74,36.90
75,37.88
76,36.76
77,36.71
78,38.00
79,36.85
80,36.78
